Date,forecast_load_mw,Temperature
2015-05-12,10113.604166666666,50.0
2015-05-13,10104.720833333333,46.0
2015-05-14,10099.283333333333,54.5
2015-05-15,10292.845833333333,66.5
2015-05-16,10062.875,70.5
2015-05-17,10210.395833333334,74.0
2015-05-18,11827.941666666668,63.0
2015-05-19,10406.208333333334,46.5
2015-05-20,10088.941666666668,43.5
2015-05-21,10051.554166666669,57.0
2015-05-22,9969.35,56.5
2015-05-23,9119.095833333333,63.0
2015-05-24,8840.583333333334,65.5
2015-05-25,10144.85,71.5
2015-05-26,11540.858333333334,69.0
2015-05-27,11519.1625,66.5
2015-05-28,11884.095833333333,68.0
2015-05-29,12433.741666666669,72.0
2015-05-30,10621.266666666666,57.5
2015-05-31,8654.5,48.5
2015-06-01,9700.9125,52.0
2015-06-02,10041.3875,56.0
2015-06-03,10379.233333333334,63.5
2015-06-04,10968.479166666666,69.0
2015-06-05,11023.666666666666,62.5
2015-06-06,9501.9875,61.5
2015-06-07,9159.008333333331,68.0
2015-06-08,11618.666666666666,72.5
2015-06-09,12169.695833333331,72.5
2015-06-10,13756.775,80.0
2015-06-11,12883.883333333331,65.0
2015-06-12,11778.220833333333,61.5
2015-06-13,9891.5,71.0
2015-06-14,10465.595833333333,75.5
2015-06-15,12736.5625,74.0
2015-06-16,12152.295833333334,64.0
2015-06-17,11008.2,64.0
2015-06-18,11971.291666666666,68.5
2015-06-19,11113.091666666667,60.5
2015-06-20,10404.433333333332,65.5
2015-06-21,11075.716666666667,75.5
2015-06-22,13514.741666666669,74.5
2015-06-23,13672.254166666668,72.5
2015-06-24,12594.908333333333,69.5
2015-06-25,12311.058333333332,70.0
2015-06-26,11339.679166666669,62.5
2015-06-27,9991.758333333331,66.0
2015-06-28,9595.075,66.5
2015-06-29,11102.3625,69.5
2015-06-30,11582.933333333332,67.0
2015-07-01,10970.3375,61.5
2015-07-02,10573.0375,61.0
2015-07-03,10151.533333333333,66.0
2015-07-04,10177.170833333334,70.0
2015-07-05,10830.970833333333,71.5
2015-07-06,13406.766666666666,74.5
2015-07-07,12493.029166666667,63.0
2015-07-08,10598.633333333331,60.5
2015-07-09,10698.654166666667,67.5
2015-07-10,11199.658333333333,71.0
2015-07-11,10919.408333333333,69.5
2015-07-12,11052.55,76.0
2015-07-13,13526.366666666669,77.0
2015-07-14,13958.508333333331,72.0
2015-07-15,11769.545833333334,67.0
2015-07-16,11346.229166666666,66.5
2015-07-17,13567.770833333334,81.5
2015-07-18,14654.1375,81.0
2015-07-19,13596.633333333331,75.0
2015-07-20,13633.091666666667,74.0
2015-07-21,13127.4625,73.5
2015-07-22,12740.8,73.5
2015-07-23,13170.358333333334,74.0
2015-07-24,13707.9375,74.0
2015-07-25,13617.625,80.0
2015-07-26,12623.754166666668,72.0
2015-07-27,14340.358333333334,77.5
2015-07-28,15221.354166666666,79.0
2015-07-29,15773.833333333334,79.0
2015-07-30,14629.625,76.5
2015-07-31,14415.525,77.0
2015-08-01,12702.933333333332,75.5
2015-08-02,12905.983333333334,79.0
2015-08-03,13870.7125,74.5
2015-08-04,13002.216666666667,71.5
2015-08-05,13004.283333333333,71.5
2015-08-06,13125.883333333331,73.5
2015-08-07,12980.991666666669,73.0
2015-08-08,12461.491666666669,75.0
2015-08-09,11289.525,73.5
2015-08-10,13006.004166666668,76.0
2015-08-11,13276.641666666666,73.5
2015-08-12,12643.141666666666,71.0
2015-08-13,13371.133333333331,75.0
2015-08-14,14513.554166666669,78.5
2015-08-15,14164.2375,79.5
2015-08-16,14151.825,80.0
2015-08-17,15510.370833333332,78.0
2015-08-18,14543.508333333331,76.0
2015-08-19,13192.066666666668,75.0
2015-08-20,11638.854166666666,73.0
2015-08-21,11628.141666666666,73.5
2015-08-22,11490.0375,70.5
2015-08-23,10715.704166666666,70.5
2015-08-24,11213.2375,65.0
2015-08-25,10959.870833333332,66.5
2015-08-26,10857.508333333331,61.5
2015-08-27,10853.020833333334,63.5
2015-08-28,11224.979166666666,64.0
2015-08-29,10552.916666666666,66.5
2015-08-30,10335.883333333331,69.5
2015-08-31,12538.370833333332,72.5
2015-09-02,15355.295,81.0
2015-09-03,15720.970833333333,81.0
2015-09-04,14972.9875,76.5
2015-09-05,13547.591666666667,78.0
2015-09-06,13598.179166666669,77.5
2015-09-07,13624.945833333331,82.0
2015-09-08,14092.525,74.5
2015-09-09,12717.779166666667,67.5
2015-09-10,11449.775,64.0
2015-09-11,10731.295833333334,60.5
2015-09-12,9307.879166666668,56.5
2015-09-13,8600.433333333332,57.5
2015-09-14,10188.220833333333,49.5
2015-09-15,11290.4875,47.5
2015-09-16,11800.145833333334,44.0
2015-09-17,12550.870833333332,43.5
2015-09-18,12719.429166666669,39.0
2015-09-19,10385.545833333334,32.5
2015-09-20,8982.391666666666,25.5
2015-09-21,10293.770833333334,17.0
2015-09-22,10720.991666666669,31.0
2015-09-23,11034.616666666669,27.0
2015-09-24,11141.4625,21.5
2015-09-25,11152.116666666669,39.0
2015-09-26,10234.120833333332,39.5
2015-09-27,9664.233333333334,41.0
2015-09-28,11495.516666666666,35.0
2015-09-29,11310.795833333334,33.5
2015-09-30,10371.404166666667,41.5
2015-10-01,10207.966666666667,55.5
2015-10-02,10068.016666666666,55.5
2015-10-03,9204.1875,51.0
2015-10-04,8718.575,53.5
2015-10-05,9944.475,56.5
2015-10-06,10433.325,57.5
2015-10-07,10517.662790697674,53.0
2015-10-08,10554.89903846154,47.5
2015-10-09,10310.661016949152,50.5
2015-10-10,9200.5875,50.5
2015-10-11,8676.2875,60.5
2015-10-12,10113.0375,64.0
2015-10-13,10114.05,55.0
2015-10-14,10120.716666666667,51.5
2015-10-15,10103.245833333332,49.5
2015-10-16,10065.279166666667,47.0
2015-10-17,9374.2375,50.0
2015-10-18,8750.779166666667,44.0
2015-10-19,9987.908333333333,50.0
2015-10-20,10290.366666666669,41.5
2015-10-21,10385.5375,51.5
2015-10-22,10306.85,49.5
2015-10-23,10158.220833333333,51.5
2015-10-24,9464.233333333334,57.0
2015-10-25,8563.966666666667,62.5
2015-10-26,9803.075,57.5
2015-10-27,10151.695833333331,64.5
2015-10-28,10216.216666666667,64.5
2015-10-29,10476.116666666669,41.5
2015-11-01,8629.954716981132,53.5
2015-11-02,9954.208333333334,59.5
2015-11-03,10237.933333333332,57.0
2015-11-04,10287.2,59.5
2015-11-05,10398.15,64.5
2015-11-06,10231.529166666667,53.0
2015-11-07,9515.7625,44.0
2015-11-08,9015.775,40.0
2015-11-09,10096.6,42.5
2015-11-10,10351.658333333333,44.0
2015-11-11,10437.520833333334,49.5
2015-11-12,10448.891666666666,49.0
2015-11-13,10441.391666666666,39.5
2015-11-14,9647.441666666668,41.0
2015-11-15,8757.841666666667,54.0
2015-11-16,9905.8125,50.0
2015-11-17,10404.55,54.0
2015-11-18,10430.783333333333,54.5
2015-11-19,10408.820833333331,41.0
2015-11-20,10705.45,35.5
2015-11-21,10378.9875,49.5
2015-11-22,10432.979166666666,44.0
2015-11-23,11431.3125,43.0
2015-11-24,11421.229166666666,39.5
2015-11-25,11064.6875,37.5
2015-11-26,9670.145833333334,39.5
2015-11-27,9592.1125,40.0
2015-11-28,9714.775,42.5
2015-11-29,9553.629166666668,33.0
2015-12-01,10954.404166666667,40.0
2015-12-02,11293.0625,34.5
2015-12-03,11594.229166666666,32.5
2015-12-04,11364.479166666666,39.5
2015-12-05,10404.004166666668,37.5
2015-12-06,9819.7875,37.0
2015-12-07,10985.7625,33.0
2015-12-08,11215.266666666666,42.5
2015-12-09,11029.141666666666,46.0
2015-12-10,10933.45,49.0
2015-12-11,10744.754166666668,46.0
2015-12-12,9908.758333333331,52.0
2015-12-13,9180.654166666667,54.5
2015-12-14,10245.479166666666,51.5
2015-12-15,10923.166666666666,41.0
2015-12-16,11043.804166666669,44.0
2015-12-17,11507.104166666666,31.5
2015-12-18,11857.333333333334,28.0
2015-12-19,11280.425,22.5
2015-12-20,10474.825,36.5
2015-12-21,10982.1375,46.5
2015-12-22,11070.891666666666,38.0
2015-12-23,10883.883333333331,49.5
2015-12-24,10337.120833333332,38.0
2015-12-25,9322.804166666669,38.0
2015-12-26,9436.833333333334,39.5
2015-12-27,9634.2125,37.5
2015-12-28,11181.3875,35.0
2015-12-29,11427.8375,34.0
2015-12-30,11599.125,28.0
2015-12-31,11443.154166666667,25.0
2016-01-01,10973.05487804878,25.0
2016-01-02,10484.704545454546,26.0
2016-01-03,10393.7,25.5
2016-01-04,11417.3375,26.5
2016-01-05,11872.295833333334,25.0
2016-01-06,11842.879166666668,28.5
2016-01-07,11528.733333333334,37.5
2016-01-08,11144.591666666667,39.0
2016-01-09,10447.2875,31.5
2016-01-10,10824.145833333334,12.5
2016-01-11,12785.745833333332,11.5
2016-01-12,12927.0,11.5
2016-01-13,13325.566666666668,11.5
2016-01-14,12278.25,34.0
2016-01-15,11485.616666666669,36.5
2016-01-16,10998.929166666669,19.5
2016-01-17,11578.125,3.5
2016-01-18,13259.379166666668,1.5
2016-01-19,13482.508333333331,8.5
2016-01-20,13001.541666666666,17.5
2016-01-21,12560.0875,19.0
2016-01-22,12327.325,24.5
2016-01-23,11364.2,26.5
2016-01-24,10597.0,29.0
2016-01-25,11504.183333333332,32.5
2016-01-26,11860.054166666669,30.0
2016-01-27,12097.266666666666,28.5
2016-01-28,11797.225,34.0
2016-01-29,11742.458333333334,27.5
2016-01-30,10752.370833333332,40.5
2016-01-31,9821.591666666667,40.5
2016-02-01,10954.4125,37.5
2016-02-02,11489.408333333333,35.0
2016-02-03,11500.716666666667,32.5
2016-02-04,11813.675,25.5
2016-02-05,11750.1125,29.5
2016-02-06,10929.5,32.5
2016-02-07,10007.295833333334,37.5
2016-02-08,11182.466666666667,26.0
2016-02-09,12160.0625,17.0
2016-02-10,12668.129166666668,13.5
2016-02-11,12759.8875,14.0
2016-02-12,12565.354166666666,15.0
2016-02-13,12247.875,9.5
2016-02-14,11613.6375,13.5
2016-02-15,12078.291666666666,22.5
2016-02-16,11930.579166666666,28.5
2016-02-17,11767.158333333333,27.5
2016-02-18,11772.3125,32.5
2016-02-19,11099.954166666666,51.5
2016-02-20,9836.920833333334,47.5
